"payment_month","user_id","language","age","revenue","payment_first_month","payment_first","revenue_first","churned_month","churned_user","churned_revenue","expansion_revenue","contraction_revenue","lt"
2022-03-01,Jp0hnV9XOJGVV5jpFhlqgQ==,uk,25,122.64,2022-03-01,1,122.64,2022-04-01,0,0,0,0,8.0
2022-03-01,jVhb69DTRT5TSWYEiUrlbg==,uk,20,17.46,2022-03-01,1,17.46,2022-04-01,0,0,0,0,9.0
2022-03-01,l3sFUsG2qpcnrEzwRnjvtQ==,ru,15,38.10,2022-03-01,1,38.10,2022-04-01,0,0,0,0,1.0
2022-03-01,NMmQVq8bB84KydONJjvTfQ==,uk,18,15.33,2022-03-01,1,15.33,2022-04-01,1,15.33,0,0,0.0
2022-03-01,o55dseByUOl9s5IQCz1kuQ==,uk,22,23.16,2022-03-01,1,23.16,2022-04-01,0,0,0,0,5.0
2022-03-01,prNQwR2IPPsvGpFgOpcGaQ==,uk,14,15.66,2022-03-01,1,15.66,2022-04-01,1,15.66,0,0,7.0
2022-03-01,pz7LUOs9i7xgncmHVxQvOw==,ru,24,36.51,2022-03-01,1,36.51,2022-04-01,0,0,0,0,5.0
2022-03-01,s27V1tbCAysovKSY1XcdWQ==,uk,34,22.95,2022-03-01,1,22.95,2022-04-01,0,0,0,0,4.0
2022-03-01,SyWxmJ+Ha8K2C9UJt8blVA==,ru,25,55.62,2022-03-01,1,55.62,2022-04-01,0,0,0,0,8.0
2022-03-01,T+RA0/fgzbUBLF89D4AEDA==,ru,23,16.11,2022-03-01,1,16.11,2022-04-01,0,0,0,0,6.0
2022-03-01,Uen3Ap0lnrgWVWJtFCSo7g==,ru,17,20.79,2022-03-01,1,20.79,2022-04-01,1,20.79,0,0,7.0
2022-03-01,V7J42heW8l19wiBJ8UpRyw==,ru,25,49.80,2022-03-01,1,49.80,2022-04-01,0,0,0,0,9.0
2022-03-01,Veep00i4vvZbTAVD6GMoiA==,uk,38,12.72,2022-03-01,1,12.72,2022-04-01,0,0,0,0,8.0
2022-03-01,W6fRYNhsTNHQkvkoFEUaVQ==,uk,16,48.33,2022-03-01,1,48.33,2022-04-01,0,0,0,0,9.0
2022-03-01,XE2e8BsmBo72HxABlJmsRw==,uk,20,38.16,2022-03-01,1,38.16,2022-04-01,1,38.16,0,0,0.0
2022-03-01,xiXTXOEbWU+HnGOUmgc9/w==,uk,20,24.18,2022-03-01,1,24.18,2022-04-01,0,0,0,0,5.0
2022-03-01,Y/nf8iBu/UCaNAuIRRjVwA==,uk,15,24.27,2022-03-01,1,24.27,2022-04-01,0,0,0,0,7.0
2022-03-01,ZeMBdi9hmR0vUv+lyZiypQ==,uk,22,25.41,2022-03-01,1,25.41,2022-04-01,1,25.41,0,0,0.0
2022-03-01,ZmjMhgyYl6o8iFq964FEWg==,ru,17,54.60,2022-03-01,1,54.60,2022-04-01,0,0,0,0,9.0
2022-03-01,zSepnWFgLH0tQb1s4mxKZQ==,uk,24,23.01,2022-03-01,1,23.01,2022-04-01,0,0,0,0,9.0
2022-04-01,"06RPvlsFPCmM9ag+iSM/Ag==",ru,34,12.03,2022-04-01,1,12.03,2022-05-01,0,0,0,0,7.0
2022-04-01,"2FYEYdoJMUOtbJ6TruruWA==",ru,20,56.85,2022-04-01,1,56.85,2022-05-01,0,0,0,0,8.0
2022-04-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",uk,23,54.96,2022-04-01,1,54.96,2022-05-01,0,0,0,0,7.0
2022-04-01,"3iITAz/ADjFv3PDTgTjxSg==",ru,16,81.42,2022-03-01,0,0,2022-05-01,0,0,57.66,0,6.0
2022-04-01,"3Whh6FLR1MSfsuHKVdCEYQ==",uk,21,59.67,2022-04-01,1,59.67,2022-05-01,0,0,0,0,8.0
2022-04-01,"4b7l8C489HEJirtoe7xtFg==",uk,20,14.94,2022-03-01,0,0,2022-05-01,0,0,0,-12.21,9.0
2022-04-01,"4btLP2zvi8eBV0t08fdkKQ==",ru,20,125.97,2022-03-01,0,0,2022-05-01,0,0,108.18,0,9.0
2022-04-01,"75lEf3nSWLSf6GncqhR9gQ==",ru,22,65.97,2022-03-01,0,0,2022-05-01,0,0,51.87,0,6.0
2022-04-01,"787jk0VnxM8/sv/0TkvO6A==",uk,20,53.49,2022-03-01,0,0,2022-05-01,0,0,5.04,0,9.0
2022-04-01,"7EPlnA7OQ9MhMx+od6FA9g==",ru,23,114.15,2022-03-01,0,0,2022-05-01,0,0,0,-44.52,9.0
2022-04-01,"7GE5h/3N3lcro3K9T3aujw==",ru,32,58.20,2022-03-01,0,0,2022-05-01,0,0,19.68,0,7.0
2022-04-01,"7luG+f1d+Ri4AjeMbFR1Xw==",uk,29,16.92,2022-04-01,1,16.92,2022-05-01,1,16.92,0,0,5.0
2022-04-01,"7SeM1pmnTTTXfhI+x3ldng==",ru,22,105.96,2022-03-01,0,0,2022-05-01,0,0,71.22,0,9.0
2022-04-01,"7zbxKst2yi3pfdVI8iEChw==",ru,15,23.31,2022-04-01,1,23.31,2022-05-01,1,23.31,0,0,8.0
2022-04-01,A1qVjssGQ+ZUWZu3Z5DzTA==,uk,24,13.95,2022-03-01,0,0,2022-05-01,1,13.95,0,-31.32,7.0
2022-04-01,AN9at3LlvDamqXq8dvHD4w==,ru,24,64.50,2022-03-01,0,0,2022-05-01,0,0,22.47,0,9.0
2022-04-01,aQDvOXzsDAJWi3Y47ptRPg==,ru,20,15.21,2022-04-01,1,15.21,2022-05-01,0,0,0,0,2.0
2022-04-01,b3TBQFxyCxxypmPajF+jXw==,uk,15,14.82,2022-03-01,0,0,2022-05-01,0,0,0.84,0,3.0
2022-04-01,B4b6v6eUHvAVOeAQk6EEiw==,ru,23,63.60,2022-03-01,0,0,2022-05-01,1,63.60,48.30,0,9.0
2022-04-01,BJlqmsfEshc/QjsD7VgEjg==,ru,18,30.66,2022-04-01,1,30.66,2022-05-01,1,30.66,0,0,5.0
2022-04-01,CCwTMcGtpirFFuqzSeTyaQ==,uk,18,20.76,2022-03-01,0,0,2022-05-01,1,20.76,4.92,0,1.0
2022-04-01,Dbff3x5cRk6/tUY3WQdzFQ==,uk,21,60.57,2022-04-01,1,60.57,2022-05-01,0,0,0,0,5.0
2022-04-01,DorDcyqBWMg5IEaflqn5Xw==,ru,23,50.16,2022-04-01,1,50.16,2022-05-01,0,0,0,0,8.0
2022-04-01,dpfu6t8G4blqMn55KM8bSg==,uk,16,33.03,2022-04-01,1,33.03,2022-05-01,0,0,0,0,7.0
2022-04-01,DqezK7HAqZ+GovyRuzxD1A==,uk,23,83.19,2022-04-01,1,83.19,2022-05-01,0,0,0,0,3.0
2022-04-01,eCd4MBHIR4qUWapg05TFLQ==,ru,18,23.04,2022-04-01,1,23.04,2022-05-01,0,0,0,0,7.0
2022-04-01,F9Jtg6+0qPUKWDgBJxG8cA==,ru,18,48.45,2022-04-01,1,48.45,2022-05-01,1,48.45,0,0,7.0
2022-04-01,fCdEizmUtnjNYQLbx81H8g==,ru,16,18.12,2022-04-01,1,18.12,2022-05-01,1,18.12,0,0,0.0
2022-04-01,Fqu+/F0rn1G4YP3f3yHA1Q==,uk,21,26.28,2022-04-01,1,26.28,2022-05-01,0,0,0,0,8.0
2022-04-01,GEAVJz1gd3SThbDZR01fcA==,uk,14,87.36,2022-04-01,1,87.36,2022-05-01,0,0,0,0,6.0
2022-04-01,Ghk2iJmzSUW4qLsmJgwOcw==,uk,16,128.40,2022-03-01,0,0,2022-05-01,0,0,111.27,0,9.0
2022-04-01,gPRMy8HkmaiyX+13OxuP/A==,ru,21,55.86,2022-04-01,1,55.86,2022-05-01,0,0,0,0,7.0
2022-04-01,Grpkzd4XIHh+ZbTMNxnUGg==,ru,30,35.55,2022-04-01,1,35.55,2022-05-01,0,0,0,0,6.0
2022-04-01,H2Tik+BqoLgAQX4uSw/8vA==,uk,30,14.34,2022-04-01,1,14.34,2022-05-01,0,0,0,0,5.0
2022-04-01,Hamw6F2EZmJfI2glmE2NEg==,ru,24,42.24,2022-04-01,1,42.24,2022-05-01,0,0,0,0,7.0
2022-04-01,hkNuy6dTFIFcsQQfT5YkwQ==,uk,21,20.25,2022-04-01,1,20.25,2022-05-01,1,20.25,0,0,0.0
2022-04-01,HRBsRwGu5mkTvZBTNpA0tQ==,ru,17,59.64,2022-04-01,1,59.64,2022-05-01,0,0,0,0,1.0
2022-04-01,hRkRI5YBVIH6bbqIDTbung==,uk,19,67.26,2022-04-01,1,67.26,2022-05-01,0,0,0,0,1.0
2022-04-01,HxWcXHURvvtOJkrXAcDxQg==,uk,15,82.53,2022-03-01,0,0,2022-05-01,0,0,16.35,0,9.0
2022-04-01,HZqx1XVZ1mb7lM9T61x+DA==,ru,43,14.61,2022-04-01,1,14.61,2022-05-01,1,14.61,0,0,7.0
2022-04-01,iFFApiXZ2wPdS666BLpKZw==,uk,18,49.92,2022-03-01,0,0,2022-05-01,1,49.92,23.07,0,7.0
2022-04-01,iFnn4bfYgNs8OS5MCcLjeA==,uk,28,18.39,2022-04-01,1,18.39,2022-05-01,1,18.39,0,0,7.0
2022-04-01,ilnMSoPJHAYMegDX02XG+w==,uk,25,54.03,2022-04-01,1,54.03,2022-05-01,0,0,0,0,1.0
2022-04-01,J6WNl39fdxaY8ZtvV8wNkw==,uk,18,18.42,2022-03-01,0,0,2022-05-01,0,0,2.28,0,3.0
2022-04-01,Jp0hnV9XOJGVV5jpFhlqgQ==,uk,25,56.16,2022-03-01,0,0,2022-05-01,0,0,0,-66.48,8.0
2022-04-01,jVhb69DTRT5TSWYEiUrlbg==,uk,20,58.44,2022-03-01,0,0,2022-05-01,0,0,40.98,0,9.0
2022-04-01,K/6KHxREKTlFZXRfBNVNuQ==,ru,19,41.46,2022-04-01,1,41.46,2022-05-01,0,0,0,0,6.0
2022-04-01,l3sFUsG2qpcnrEzwRnjvtQ==,ru,15,59.73,2022-03-01,0,0,2022-05-01,1,59.73,21.63,0,1.0
2022-04-01,lCD23Awt3KotauWenCRr5w==,uk,20,47.94,2022-04-01,1,47.94,2022-05-01,0,0,0,0,3.0
2022-04-01,Lug+Yg90jslWgHEN6dc+Ng==,uk,21,82.23,2022-04-01,1,82.23,2022-05-01,1,82.23,0,0,8.0
2022-04-01,nklUUkirU5GYU5ZtNOgx8w==,ru,20,19.11,2022-04-01,1,19.11,2022-05-01,0,0,0,0,7.0
2022-04-01,nPrRQwP3UZo2KBlM2mJ8fg==,uk,24,31.68,2022-04-01,1,31.68,2022-05-01,0,0,0,0,8.0
2022-04-01,o55dseByUOl9s5IQCz1kuQ==,uk,22,86.88,2022-03-01,0,0,2022-05-01,0,0,63.72,0,5.0
2022-04-01,ojVPXYZw2oeGtcmG7LcLGA==,en,20,21.33,2022-04-01,1,21.33,2022-05-01,0,0,0,0,5.0
2022-04-01,orbgZNBGuhZZx63HTAbyIw==,uk,25,62.13,2022-04-01,1,62.13,2022-05-01,0,0,0,0,6.0
2022-04-01,OwODWxXcsV4bBnhONiLkwg==,uk,25,14.37,2022-04-01,1,14.37,2022-05-01,1,14.37,0,0,0.0
2022-04-01,pz7LUOs9i7xgncmHVxQvOw==,ru,24,19.5,2022-03-01,0,0,2022-05-01,0,0,0,-17.01,5.0
2022-04-01,s27V1tbCAysovKSY1XcdWQ==,uk,34,39.48,2022-03-01,0,0,2022-05-01,0,0,16.53,0,4.0
2022-04-01,ShEJVi+TtuQlvdw2uetd/Q==,uk,22,131.97,2022-04-01,1,131.97,2022-05-01,0,0,0,0,2.0
2022-04-01,SyWxmJ+Ha8K2C9UJt8blVA==,ru,25,16.8,2022-03-01,0,0,2022-05-01,1,16.8,0,-38.82,8.0
2022-04-01,T+RA0/fgzbUBLF89D4AEDA==,ru,23,45.48,2022-03-01,0,0,2022-05-01,1,45.48,29.37,0,6.0
2022-04-01,TWDA+aUZ8OPMHOtz5cPPXA==,ru,20,62.58,2022-04-01,1,62.58,2022-05-01,0,0,0,0,7.0
2022-04-01,V7J42heW8l19wiBJ8UpRyw==,ru,25,36.84,2022-03-01,0,0,2022-05-01,0,0,0,-12.96,9.0
2022-04-01,Veep00i4vvZbTAVD6GMoiA==,uk,38,48.33,2022-03-01,0,0,2022-05-01,1,48.33,35.61,0,8.0
2022-04-01,W6fRYNhsTNHQkvkoFEUaVQ==,uk,16,57.72,2022-03-01,0,0,2022-05-01,0,0,9.39,0,9.0
2022-04-01,WAdVK2sJHdBL0bCFyVa0ww==,uk,14,24.09,2022-04-01,1,24.09,2022-05-01,1,24.09,0,0,0.0
2022-04-01,Wua5DlzLb2yNeSrcG9Xi3g==,uk,23,59.85,2022-04-01,1,59.85,2022-05-01,0,0,0,0,6.0
2022-04-01,xiXTXOEbWU+HnGOUmgc9/w==,uk,20,99.84,2022-03-01,0,0,2022-05-01,0,0,75.66,0,5.0
2022-04-01,xnLJlU804PSS9tXKmm7gZQ==,ru,21,26.61,2022-04-01,1,26.61,2022-05-01,0,0,0,0,8.0
2022-04-01,Y/nf8iBu/UCaNAuIRRjVwA==,uk,15,20.43,2022-03-01,0,0,2022-05-01,0,0,0,-3.84,7.0
2022-04-01,ZmjMhgyYl6o8iFq964FEWg==,ru,17,56.70,2022-03-01,0,0,2022-05-01,0,0,2.10,0,9.0
2022-04-01,zSepnWFgLH0tQb1s4mxKZQ==,uk,24,71.52,2022-03-01,0,0,2022-05-01,0,0,48.51,0,9.0
2022-04-01,ZxxZ87IcpgSh4lQ/VSIjnA==,uk,22,42.18,2022-04-01,1,42.18,2022-05-01,0,0,0,0,8.0
2022-05-01,"06RPvlsFPCmM9ag+iSM/Ag==",ru,34,28.32,2022-04-01,0,0,2022-06-01,0,0,16.29,0,7.0
2022-05-01,"0A5RkQrm+GBgG7KSFk/xhw==",uk,31,13.8,2022-05-01,1,13.8,2022-06-01,0,0,0,0,6.0
2022-05-01,"2FYEYdoJMUOtbJ6TruruWA==",ru,20,30.33,2022-04-01,0,0,2022-06-01,0,0,0,-26.52,8.0
2022-05-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",uk,23,72.06,2022-04-01,0,0,2022-06-01,0,0,17.10,0,7.0
2022-05-01,"3iITAz/ADjFv3PDTgTjxSg==",ru,16,15.69,2022-03-01,0,0,2022-06-01,0,0,0,-65.73,6.0
2022-05-01,"3rCdNEPkh3vwmYB0BVadEw==",ru,27,22.86,2022-05-01,1,22.86,2022-06-01,1,22.86,0,0,3.0
2022-05-01,"3Whh6FLR1MSfsuHKVdCEYQ==",uk,21,12.36,2022-04-01,0,0,2022-06-01,0,0,0,-47.31,8.0
2022-05-01,"4b7l8C489HEJirtoe7xtFg==",uk,20,26.40,2022-03-01,0,0,2022-06-01,0,0,11.46,0,9.0
2022-05-01,"4btLP2zvi8eBV0t08fdkKQ==",ru,20,91.68,2022-03-01,0,0,2022-06-01,0,0,0,-34.29,9.0
2022-05-01,"4oH5e29koOH9zNYW8Kwcsg==",uk,28,12.99,2022-05-01,1,12.99,2022-06-01,1,12.99,0,0,3.0
2022-05-01,"6We7zBO7mVbNxGEl/xPKVg==",uk,19,22.74,2022-05-01,1,22.74,2022-06-01,0,0,0,0,7.0
2022-05-01,"72brUr/DKItStlTen5pHYg==",uk,24,19.92,2022-03-01,0,0,2022-06-01,0,0,0,0,8.0
2022-05-01,"75lEf3nSWLSf6GncqhR9gQ==",ru,22,58.26,2022-03-01,0,0,2022-06-01,0,0,0,-7.71,6.0
2022-05-01,"787jk0VnxM8/sv/0TkvO6A==",uk,20,36.75,2022-03-01,0,0,2022-06-01,0,0,0,-16.74,9.0
2022-05-01,"7EPlnA7OQ9MhMx+od6FA9g==",ru,23,51.18,2022-03-01,0,0,2022-06-01,0,0,0,-62.97,9.0
2022-05-01,"7ew71UmoMb73L41PM/YL/w==",uk,17,32.10,2022-05-01,1,32.10,2022-06-01,0,0,0,0,6.0
2022-05-01,"7GE5h/3N3lcro3K9T3aujw==",ru,32,118.95,2022-03-01,0,0,2022-06-01,0,0,60.75,0,7.0
2022-05-01,"7SeM1pmnTTTXfhI+x3ldng==",ru,22,62.61,2022-03-01,0,0,2022-06-01,1,62.61,0,-43.35,9.0
2022-05-01,"8TTRdxncZg7Nl0tvfwsZng==",uk,30,14.25,2022-05-01,1,14.25,2022-06-01,1,14.25,0,0,0.0
2022-05-01,"9IWUQ1iWPfYSSN2tWuVqMQ==",ru,24,12.48,2022-05-01,1,12.48,2022-06-01,0,0,0,0,7.0
2022-05-01,an5Xsrpir8vvhTb50gnppQ==,uk,43,15.51,2022-05-01,1,15.51,2022-06-01,1,15.51,0,0,0.0
2022-05-01,AN9at3LlvDamqXq8dvHD4w==,ru,24,66.57,2022-03-01,0,0,2022-06-01,0,0,2.07,0,9.0
2022-05-01,aQDvOXzsDAJWi3Y47ptRPg==,ru,20,39.30,2022-04-01,0,0,2022-06-01,0,0,24.09,0,2.0
2022-05-01,b3TBQFxyCxxypmPajF+jXw==,uk,15,28.68,2022-03-01,0,0,2022-06-01,0,0,13.86,0,3.0
2022-05-01,b6lW5fOrJiJUE7dwhEp9VQ==,ru,17,94.11,2022-05-01,1,94.11,2022-06-01,0,0,0,0,7.0
2022-05-01,B8zuTsAC2iJ98u2nlv/fUw==,uk,21,39.96,2022-05-01,1,39.96,2022-06-01,1,39.96,0,0,5.0
2022-05-01,Bcs3CbYx2EpbL9otxlEUmg==,uk,18,30.72,2022-03-01,0,0,2022-06-01,0,0,0,0,7.0
2022-05-01,BDvlXttM/hbupcLic+5ZWg==,uk,29,12.93,2022-05-01,1,12.93,2022-06-01,0,0,0,0,7.0
2022-05-01,BTD3ZjLKfkT6ZRBT9zRwtg==,uk,14,65.73,2022-05-01,1,65.73,2022-06-01,0,0,0,0,7.0
2022-05-01,crKNTIblJ0113SKEtSJQHw==,uk,16,93.99,2022-05-01,1,93.99,2022-06-01,0,0,0,0,7.0
2022-05-01,Dbff3x5cRk6/tUY3WQdzFQ==,uk,21,31.2,2022-04-01,0,0,2022-06-01,0,0,0,-29.37,5.0
2022-05-01,DorDcyqBWMg5IEaflqn5Xw==,ru,23,37.62,2022-04-01,0,0,2022-06-01,0,0,0,-12.54,8.0
2022-05-01,dpfu6t8G4blqMn55KM8bSg==,uk,16,33.15,2022-04-01,0,0,2022-06-01,0,0,0.12,0,7.0
2022-05-01,DqezK7HAqZ+GovyRuzxD1A==,uk,23,72.15,2022-04-01,0,0,2022-06-01,0,0,0,-11.04,3.0
2022-05-01,eCd4MBHIR4qUWapg05TFLQ==,ru,18,14.55,2022-04-01,0,0,2022-06-01,0,0,0,-8.49,7.0
2022-05-01,er3/fOrRpmyqiRaC0CaFcg==,uk,21,47.22,2022-05-01,1,47.22,2022-06-01,0,0,0,0,7.0
2022-05-01,FLqAK4qKiMkvlLBgGwbBnQ==,ru,31,24.36,2022-05-01,1,24.36,2022-06-01,1,24.36,0,0,5.0
2022-05-01,Fqu+/F0rn1G4YP3f3yHA1Q==,uk,21,20.73,2022-04-01,0,0,2022-06-01,1,20.73,0,-5.55,8.0
2022-05-01,Fx9+2aYPOHAS3fdXpLQ9Pg==,ru,35,31.56,2022-03-01,0,0,2022-06-01,1,31.56,0,0,2.0
2022-05-01,fXlo39/YD2z9SEVShTXp6w==,uk,34,17.34,2022-05-01,1,17.34,2022-06-01,1,17.34,0,0,0.0
2022-05-01,GEAVJz1gd3SThbDZR01fcA==,uk,14,48.30,2022-04-01,0,0,2022-06-01,0,0,0,-39.06,6.0
2022-05-01,Ghk2iJmzSUW4qLsmJgwOcw==,uk,16,67.29,2022-03-01,0,0,2022-06-01,0,0,0,-61.11,9.0
2022-05-01,GOl6BQXsy0zvbvIWIoKEQw==,ru,18,64.65,2022-05-01,1,64.65,2022-06-01,1,64.65,0,0,6.0
2022-05-01,gPRMy8HkmaiyX+13OxuP/A==,ru,21,22.17,2022-04-01,0,0,2022-06-01,0,0,0,-33.69,7.0
2022-05-01,Grpkzd4XIHh+ZbTMNxnUGg==,ru,30,41.88,2022-04-01,0,0,2022-06-01,0,0,6.33,0,6.0
2022-05-01,H2Tik+BqoLgAQX4uSw/8vA==,uk,30,12.09,2022-04-01,0,0,2022-06-01,0,0,0,-2.25,5.0
2022-05-01,Hamw6F2EZmJfI2glmE2NEg==,ru,24,15.6,2022-04-01,0,0,2022-06-01,0,0,0,-26.64,7.0
2022-05-01,HJccOn6v5KHqBa8wRu42oQ==,uk,20,18.84,2022-03-01,0,0,2022-06-01,1,18.84,0,0,6.0
2022-05-01,HRBsRwGu5mkTvZBTNpA0tQ==,ru,17,20.85,2022-04-01,0,0,2022-06-01,1,20.85,0,-38.79,1.0
2022-05-01,hRkRI5YBVIH6bbqIDTbung==,uk,19,16.44,2022-04-01,0,0,2022-06-01,1,16.44,0,-50.82,1.0
2022-05-01,HxWcXHURvvtOJkrXAcDxQg==,uk,15,122.94,2022-03-01,0,0,2022-06-01,0,0,40.41,0,9.0
2022-05-01,IdKyooyTjAbvCA7p+ujKCw==,uk,19,153.54,2022-05-01,1,153.54,2022-06-01,0,0,0,0,7.0
2022-05-01,ilnMSoPJHAYMegDX02XG+w==,uk,25,64.86,2022-04-01,0,0,2022-06-01,1,64.86,10.83,0,1.0
2022-05-01,J6WNl39fdxaY8ZtvV8wNkw==,uk,18,24.99,2022-03-01,0,0,2022-06-01,0,0,6.57,0,3.0
2022-05-01,jKSOgyMP0Yzld1pVpvyYrg==,uk,36,15.06,2022-05-01,1,15.06,2022-06-01,1,15.06,0,0,6.0
2022-05-01,Jp0hnV9XOJGVV5jpFhlqgQ==,uk,25,18.06,2022-03-01,0,0,2022-06-01,0,0,0,-38.10,8.0
2022-05-01,jVhb69DTRT5TSWYEiUrlbg==,uk,20,54.27,2022-03-01,0,0,2022-06-01,0,0,0,-4.17,9.0
2022-05-01,K/6KHxREKTlFZXRfBNVNuQ==,ru,19,13.26,2022-04-01,0,0,2022-06-01,0,0,0,-28.20,6.0
2022-05-01,lCD23Awt3KotauWenCRr5w==,uk,20,90.75,2022-04-01,0,0,2022-06-01,1,90.75,42.81,0,3.0
2022-05-01,lGI5+OCzV6nnDMpyZWtZAg==,ru,18,17.25,2022-05-01,1,17.25,2022-06-01,1,17.25,0,0,0.0
2022-05-01,lP6BWSFF4OZeWp0jrAHY9g==,uk,29,13.2,2022-05-01,1,13.2,2022-06-01,1,13.2,0,0,7.0
2022-05-01,LWAxWBdiFs/25YxI4ZGthA==,ru,17,86.46,2022-05-01,1,86.46,2022-06-01,0,0,0,0,1.0
2022-05-01,MRcEXu/KG95hsIyJM/816A==,uk,32,37.98,2022-05-01,1,37.98,2022-06-01,0,0,0,0,6.0
2022-05-01,nklUUkirU5GYU5ZtNOgx8w==,ru,20,40.62,2022-04-01,0,0,2022-06-01,1,40.62,21.51,0,7.0
2022-05-01,nPrRQwP3UZo2KBlM2mJ8fg==,uk,24,70.08,2022-04-01,0,0,2022-06-01,0,0,38.40,0,8.0
2022-05-01,o55dseByUOl9s5IQCz1kuQ==,uk,22,16.44,2022-03-01,0,0,2022-06-01,0,0,0,-70.44,5.0
2022-05-01,ojVPXYZw2oeGtcmG7LcLGA==,en,20,75.90,2022-04-01,0,0,2022-06-01,0,0,54.57,0,5.0
2022-05-01,orbgZNBGuhZZx63HTAbyIw==,uk,25,155.97,2022-04-01,0,0,2022-06-01,0,0,93.84,0,6.0
2022-05-01,pLOCMIX+imLIzoDehgdOPA==,uk,22,68.16,2022-05-01,1,68.16,2022-06-01,0,0,0,0,7.0
2022-05-01,prNQwR2IPPsvGpFgOpcGaQ==,uk,14,95.52,2022-03-01,0,0,2022-06-01,1,95.52,0,0,7.0
2022-05-01,pz7LUOs9i7xgncmHVxQvOw==,ru,24,39.6,2022-03-01,0,0,2022-06-01,0,0,20.1,0,5.0
2022-05-01,qEF/fPDQLJPXIx6RiSIP1A==,uk,20,21.84,2022-05-01,1,21.84,2022-06-01,0,0,0,0,7.0
2022-05-01,qqYyR2vRI+7pgiuyTnVM+A==,ru,19,40.17,2022-05-01,1,40.17,2022-06-01,0,0,0,0,4.0
2022-05-01,q/Tz1C31XWaBUDrRn2ezDw==,uk,21,17.64,2022-05-01,1,17.64,2022-06-01,0,0,0,0,2.0
2022-05-01,QZBiEFECZAgVl5IkN9/cFw==,en,16,91.17,2022-05-01,1,91.17,2022-06-01,0,0,0,0,5.0
